     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
51550, 4, 699, 0.00, 0.00, 0.33, 0.34, 10.26, 97.26, 32, 1, 34, 2, 32, 1, 33, 1, 0,0.00,0,8598
51969, 4, 695, 0.00, 0.00, 0.43, 0.40, 10.30, 85.36, 32, 1, 32, 1, 34, 1, 33, 1, 0,0.00,0,9017
52388, 4, 710, 0.00, 0.00, 0.31, 0.37, 10.26, 90.15, 33, 2, 33, 2, 33, 2, 32, 1, 0,0.00,0,9436
52809, 4, 694, 0.00, 0.00, 0.39, 0.38, 10.23, 90.16, 32, 1, 32, 1, 33, 1, 33, 1, 0,0.00,0,9857
53229, 4, 668, 0.00, 0.00, 0.43, 0.39, 10.32, 84.43, 34, 2, 34, 2, 32, 1, 34, 1, 0,0.00,0,10277
53651, 4, 705, 0.00, 0.00, 0.38, 0.38, 10.23, 96.47, 33, 1, 33, 1, 33, 2, 34, 1, 0,0.00,0,10699
54073, 4, 712, 0.00, 0.00, 0.41, 0.38, 10.25, 96.03, 33, 2, 33, 2, 33, 1, 32, 1, 0,0.00,0,11121
54494, 4, 723, 0.00, 0.00, 0.38, 0.37, 10.19, 83.38, 32, 1, 32, 1, 32, 1, 32, 1, 0,0.00,0,11542
54916, 4, 736, 0.00, 0.00, 0.43, 0.39, 10.28, 90.79, 32, 1, 32, 1, 33, 1, 33, 2, 0,0.00,0,11964
55336, 4, 733, 0.00, 0.00, 0.37, 0.39, 10.23, 78.20, 32, 1, 33, 1, 33, 2, 32, 1, 0,0.00,0,12384
55757, 4, 733, 0.00, 0.00, 0.42, 0.38, 10.25, 96.02, 32, 1, 32, 1, 34, 1, 33, 1, 0,0.00,0,12805
